Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
Total,0,0,11.5,101420,165,50,94.05,31,41,379,490,29.58,6,11,338,15053,519.9035,0:02:04,0
2018-08-21,1.1538,13,7.38,122,2,1,100,0,0,5,5,53.59,1,1,5,15,0.4666,0:01:51,0
2018-08-22,1.1935,31,23.14,121,3,0,100,0,2,6,4,44.58,,,4,37,0.9575,0:01:33,0
2018-08-23,1.3684,19,20.65,92,1,0,100,0,0,2,5,38.75,,,2,26,0.5849,0:01:20,0
2018-08-24,1,8,13.64,44,0,0,,0,0,0,0,24.81,,,0,8,0.1152,0:00:51,0
2018-08-25,1.0625,16,13.89,72,0,0,,0,0,1,0,45.5,,,1,17,0.4491,0:01:35,0
2018-08-26,1.1333,15,11.02,118,0,0,0,1,0,0,0,62.19,,,0,17,0.6138,0:02:09,0
2018-08-27,1.0517,58,10.55,455,1,0,,0,0,3,0,38.76,,,3,61,1.3728,0:01:21,0
2018-08-28,1.0896,67,10.66,572,1,0,100,0,0,1,6,37.53,,,1,73,1.5907,0:01:18,0
2018-08-29,1.0755,53,7.75,529,0,0,66.67,1,0,0,2,31.12,,,0,57,1.0298,0:01:05,0
2018-08-30,1.0698,43,6.52,598,0,0,100,0,0,2,2,39.47,,,2,46,1.054,0:01:22,0
2018-08-31,1.1231,65,9.78,542,0,2,100,0,0,2,2,42.81,,,2,73,1.8142,0:01:29,0
2018-09-01,1.086,93,12.89,675,0,0,100,0,0,2,2,41.57,,,2,101,2.4374,0:01:26,0
2018-09-02,1.1681,119,13.24,846,0,2,100,0,0,1,9,43.36,1,1,1,139,3.8101,0:01:38,0
2018-09-03,1.2857,84,10.66,647,0,7,92.86,1,0,3,13,35.76,,,3,108,3.4108,0:01:53,0
2018-09-04,1.4138,58,9.2,641,0,1,100,0,0,3,3,28.65,,,3,82,1.7977,0:01:18,0
2018-09-05,1.2525,99,13.85,722,1,2,83.33,1,1,4,5,40.2,,,3,124,3.4067,0:01:38,0
2018-09-06,1.4215,223,14.9,1738,2,0,100,0,0,14,16,40.46,,,14,317,10.7995,0:02:02,0
2018-09-07,1.5297,202,10.92,2171,4,2,100,0,2,14,16,43.47,1,2,12,309,10.6117,0:02:03,0
2018-09-08,1.5778,225,10.37,2489,3,2,100,0,1,8,24,35.78,1,1,7,355,9.0243,0:01:31,0
2018-09-09,1.4955,220,8.83,2878,3,2,100,0,0,6,14,31.37,,,6,329,7.8816,0:01:26,0
2018-09-10,1.4641,153,6.78,2609,2,8,100,0,0,6,9,35.72,,,6,224,6.1752,0:01:39,0
2018-09-11,1.4312,160,9.29,1863,0,3,100,0,0,3,4,33.89,,,3,229,6.0212,0:01:34,0
2018-09-12,1.52,150,9.42,2007,1,0,100,0,1,2,3,34.11,,,1,228,6.0814,0:01:36,0
2018-09-13,1.4675,154,10.05,1562,5,3,100,0,1,8,7,34.47,,,7,226,5.8364,0:01:32,0
2018-09-14,1.3107,103,10.59,916,2,3,100,0,0,0,4,28.08,,,0,135,3.0896,0:01:22,0
2018-09-15,1,14,7.36,163,0,0,,0,0,0,0,46.95,,,0,14,0.8682,0:03:43,0
2018-09-16,1.0769,26,14.38,160,0,0,,0,0,1,0,26.69,,,1,28,1.0295,0:02:12,0
2018-09-17,1.1333,15,13.56,118,0,0,100,0,0,0,1,22.75,,,0,17,0.533,0:01:52,0
2018-09-18,1.1667,12,10.19,108,0,0,,0,0,0,0,30.39,,,0,14,0.5863,0:02:30,0
2018-09-19,1.0833,12,7.55,106,0,0,100,0,0,1,2,28.25,,,1,13,0.506,0:02:20,0
2018-09-20,1.4444,18,12.67,150,0,0,,0,0,0,0,27.2,,,0,26,0.9742,0:02:14,0
2018-09-21,1.1452,62,9.44,593,0,0,100,0,0,0,1,35.51,,,0,71,2.2846,0:01:55,0
2018-09-22,1.3448,29,9.49,295,0,0,100,0,0,3,3,29.69,,,3,39,1.4296,0:02:11,0
2018-09-23,1.25,24,11.24,178,0,0,,0,0,2,0,25.05,,,2,30,1.0355,0:02:04,0
2018-09-24,1.1667,18,8.63,197,0,0,0,1,0,0,0,35.59,,,0,21,1.0297,0:02:56,0
2018-09-25,1.0952,21,12.03,158,0,0,100,0,0,0,1,33.28,,,0,23,1.0548,0:02:45,0
2018-09-26,1.1034,29,9.54,241,0,0,,0,0,1,0,28.27,,,1,32,1.2462,0:02:20,0
2018-09-27,1,24,7.73,233,0,0,100,0,0,0,2,35.09,,,0,24,1.1602,0:02:54,0
2018-09-28,1.1,30,9.96,241,0,0,50,1,0,0,1,35.98,,,0,33,1.636,0:02:58,0
2018-09-29,1.1613,31,10.32,252,0,0,100,0,1,1,2,24.58,,,0,36,1.2192,0:02:01,0
2018-09-30,1.1154,26,9.8,245,0,0,,0,0,0,0,33.07,,,0,29,1.3214,0:02:44,0
2018-10-01,1.1429,21,8.48,224,0,0,,0,0,0,0,23.81,,,0,24,0.7874,0:01:58,0
2018-10-02,1.1923,26,10.4,173,0,0,,0,0,3,0,36.33,,,3,31,1.5518,0:03:00,0
2018-10-03,1,22,7.77,193,0,0,,0,0,1,0,23.73,,,1,22,0.7194,0:01:57,0
2018-10-04,1.1579,19,9.57,188,0,0,,0,1,0,0,32.05,,,-1,22,0.9714,0:02:38,0
2018-10-05,1.0435,23,12.12,165,0,0,,0,0,0,0,48.78,,,0,24,1.6131,0:04:01,0
2018-10-06,1.1667,18,8.12,197,0,0,,0,0,0,0,36.22,,,0,21,1.0479,0:02:59,0
2018-10-07,1.0909,22,9.3,215,0,0,100,0,0,0,2,33.46,,,0,24,1.1064,0:02:45,0
2018-10-08,1.1154,26,9.77,215,0,0,,0,0,1,0,24,,,1,29,0.9588,0:01:59,0
2018-10-09,1.1818,11,9.77,133,0,0,,0,0,0,0,36.59,,,0,13,0.6554,0:03:01,0
2018-10-10,1.1053,19,9.71,175,0,0,,0,0,0,0,33.46,,,0,21,0.968,0:02:45,0
2018-10-11,1.1111,18,8.38,191,0,0,100,0,0,0,1,35.42,,,0,20,0.9761,0:02:55,0
2018-10-12,1.0417,24,9.89,182,0,0,100,0,0,1,1,34.07,,,1,25,1.1462,0:02:45,0
2018-10-13,1,29,10.43,211,0,0,0,1,1,0,0,48.36,,,-1,29,1.9322,0:03:59,0
2018-10-14,1.0455,22,8.84,215,0,0,,0,0,1,0,36.99,,,1,23,1.1721,0:03:03,0
2018-10-15,1.0909,22,9.31,204,0,0,,0,0,0,0,25.3,,,0,24,0.8365,0:02:05,0
